Timestamp,Direction,Status,CRC,Source,Destination,Command,Data,,,,,,
2022-02-25T13:14:27.791,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,Results,
2022-02-25T13:14:27.803,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:14:28.792,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:28.811,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:14:29.797,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:29.802,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:14:30.794,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:30.810,RX,Valid,0x15c3,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x00,0x00
2022-02-25T13:14:31.795,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:32.796,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:32.810,RX,Valid,0xe714,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x04,0x74
2022-02-25T13:14:33.802,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:34.799,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:34.809,RX,Valid,0x1ddc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x07,0x80
2022-02-25T13:14:35.801,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:35.802,RX,Valid,0x1ddc,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x07,0x80
2022-02-25T13:14:36.798,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:36.809,RX,Valid,0xeabd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x08,0x34
2022-02-25T13:14:37.796,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:37.801,RX,Valid,0xe80c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x08,0xac
2022-02-25T13:14:38.794,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:38.809,RX,Valid,0xcbbd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x09,0x24
2022-02-25T13:14:39.800,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:39.817,RX,Valid,0xed6e,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x09,0x9c
2022-02-25T13:14:40.805,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:40.810,RX,Valid,0xe52e,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x09,0xd8
2022-02-25T13:14:41.802,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:41.817,RX,Valid,0xa8bd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0x14
2022-02-25T13:14:42.795,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:42.808,RX,Valid,0xaa0c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0x8c
2022-02-25T13:14:43.800,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:43.816,RX,Valid,0xaa0c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0x8c
2022-02-25T13:14:44.797,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:44.809,RX,Valid,0xaa0c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0x8c
2022-02-25T13:14:45.803,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:45.816,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:46.794,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:46.808,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:47.800,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:47.816,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:48.795,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:48.808,RX,Valid,0x89bd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0b,0x04
2022-02-25T13:14:49.793,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:49.799,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:50.804,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:50.823,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:51.797,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:51.815,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:52.795,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:53.808,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:54.792,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:54.807,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:55.803,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:55.815,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:56.792,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:56.806,RX,Valid,0xa24c,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0a,0xc8
2022-02-25T13:14:57.796,TX,Valid,0x8d5c,0xe4,0xff,0xa0,0x00,0xff,0x3c,,,,
2022-02-25T13:14:57.799,RX,Valid,0x89bd,0xc0,0xe4,0xa1,0x00,0x00,0xff,0x3c,0x02,0x0b,0x04
